OrderedEvacuationNotValidPrize,"You tell the captain that your orders obligate you to sink this freighter and that they must evacuate it immediately.

Captain is clearly angry about this outcome and angrily responds that you don't have the right to do that as this is a neutral vessel headed to a country that doesn't participate in the war. At some point he accepts that he cannot prevent this from happening and starts to wave his hand at his crew to proceed with the evacuation of his ship."
OrderedEvacuationNotValidPrizeConfirm,Continue.
Return,Return to your ship.
Spanish,Spanish
Portuguese,Portuguese
French,French
German,German
English,English
,
,
BreakThroughDoors Wait Title,In progress
BreakThroughDoors Wait,Your engineer is breaking through the bulkhead...
,
CaptainAdmitsTradeWithBritish Title,Documents
CaptainAdmitsTradeWithBritish,"You try to question the authenticity of the documents to see how the captain of this freighter will react.

He provides explanations to some of your assertions, but after you continue to cast doubts, he breaks and admits that the documents are fake. It turns out that they smuggle various goods to Britain under a false flag.

<color=green>From now on, this freighter is considered a fair prize. You can sink it without risking an international incident.</color>"
CaptainAdmitsTradeWithBritishConfirm,Continue.
,
,
,
/Evacuated Freighter,English
Intro Title,Freighter
Intro,"This freighter was abandoned by its crew. We can send a team to it, if we want."
SendTeam,Send a team to the freighter.
TeamSelect,Select crew that will be a part of the delegation.
Intro_Deck Title,Deck
Intro_Deck,You are on the cargo ship's deck.
GoTo_DeckHouse1,Enter the deck house.
Intro_DeckHouse Title,Deck house
Intro_DeckHouse,You are inside the deck house.
GoTo_Deck,Move outside to the deck.
GoTo_CaptainQuarter,Go to a captain's office.
GoTo_EngineRoom,Go to an engine room.
Intro_CaptainQuarter Title,Captain quarter
Intro_CaptainQuarter,You are in the captain's quarter.
GoTo_DeckHouse2,Go back to the deck house.
Intro_EngineRoom Title,Engine room
Intro_EngineRoom,You are in the engine room.
GoTo_CargoHold,Go to a cargo hold.
Plant explosives.,Plant explosives.
Intro_CargoHold Title,Cargo hold
Intro_CargoHold,You are in the ship's cargo hold.
ViewGoods,View the transported goods.
SearchCargoHold,Search the cargo hold.
SearchCargoHold_Result Title,Cargo hold
SearchCargoHold_Result,Your crew is searching the cargo hold for suspicious cargo.
Search_NothingFound,Our team has completed the search of the cargo hold.
Search_NothingFoundConfirm,Continue.
Return,Return to your ship.
SendTeam Wait Title,Delegation sent...
SendTeam Wait,"Please wait, while the delegation travels to the destination."
,
/Lifeboat,English
Intro Title,Lifeboat
Intro,There are {0} survivors on this lifeboat. What do you want to do?
TakeSurvivorsOnBoard,Take them on board.
TakeSurvivorsOnBoard Tooltip,"Open a list of survivors on this lifeboat and decide, if you want to take some of them on board.

Note: Saving lives of civilians may increase your reputation. In addition headquarters will reward you for taking captains of enemy ships as prisoners of war."
GiveThemSupplies,Give them supplies.
GiveThemSupplies Tooltip,Open the ship storage screen and give them some supplies.
AcceptSupplies,Sailors on board are both surprised and grateful for the supplies.
Confirm,Confirm
,
,
/Spy,English
Spy_Port_Intro Title,Spy
Spy_Port_Intro,{0} greets {1} in a very official fashion and explains that he received orders to join crew of {2} during this assignment.
Spy_Port_Intro_Welcome,Welcome.
"Spy_Port_Intro_Welcome Tooltip
",Confirm that you was waiting for him and proceed to tour him around the ship.
,
,
/War Correspondent,English
WarCorrespondent_Port_Intro Title,War Correspondent
WarCorrespondent_Port_Intro,"War correspondent warmly thanks {1} for allowing him to join the crew during this assignment. {1} shakes his hand and after some small talk explains basic things about living on board of {2} and where his bunk is.

{0} appreciates the help, adds that it's not his first time on a ship and confirms that he will be fine."
WarCorrespondent_Port_Intro_Welcome,Welcome.
,
,
/Wreck,English
SendDiver Title,Wreck
SendDiver,There is a wreck of {0} on the sea floor. How should we proceed?
SendDiver_Confirm,Send a diver.
SendDiver_TeamSelect,Select a diver to explore the wreck.
SendDiver_Confirm Wait,Sending diver
SendDiver_Confirm Wait Title,Wreck
SendDiver Wait Title,Please wait...
SendDiver Wait,{0} is being lowered down to the wreck.
Intro Title,Seabed
Intro,Diver arrived at the wreck. What are your orders?
Outside_EnterDeckHouse,Enter the deck house.
DeckHouse Title,Galley
DeckHouse,"After being lowered onto the ship's deck, it took a few minutes of effort for {0} to open the bulkhead at the deck house.

Once inside, he entered a compartment with a galley and various accomodations. Nothing specific drawn his attention aside from a peculiar fish awkwardly trying to eat chicken that fell out of the refrigerator."
DeckHouse_Return Title,Galley
DeckHouse_Return,You are back to the galley.
DeckHouse_Search,Search this compartment.
MoveToCrewQuarters,Move up to the crew quarters.
MoveDownToEngineRoom,Move down to the engine room.
CrewQuarters Title,Crew Quarters
CrewQuarters,Diver arrives at the crew quarters.
CrewQuarters_Return Title,Crew Quarters
CrewQuarters_Return,You are back to the crew quarters.
CrewQuarters_Search,Search this compartment.
CrewQuarters_Safe Title,Crew Quarters
CrewQuarters_Safe,"There is nothing special in here, aside from a locked safe. It's already weared out by the water, so it may be possible to open it with the right tools."
CrewQuarters_Safe_Open,Crack the safe open.
CrewQuarters_Safe_Open_Result Title,Crew Quarters
CrewQuarters_Safe_Open_Result,"After some struggle, officer successfully manages to open the safe using a crowbar found in the engine room. He found a key inside it and took it with him."
MoveToGalleyFromCrewQuarters,Move back to the galley.
EngineRoom Title,Engine Room
EngineRoom,{0} arrives at the engine room of the ship. There are few bodies of the crew lying in the corner.
EngineRoom_Return Title,Engine Room
EngineRoom_Return,You are back to the engine room.
EngineRoom_Search,Search this compartment.
EngineRoom_SearchResult Title,Engine Room
EngineRoom_SearchResult,{0} has found the captain's body in this compartment and spotted a key nearby. He decided to take it with him.
MoveToGalleyFromEngineRoom,Move back to the galley.
MoveToCargoHold,Move to the cargo hold.
CargoHold Title,Cargo Hold
CargoHold,You are in the ship's cargo hold.
CargoHold_Return Title,Cargo Hold
CargoHold_Return,You are back to the cargo hold.
CargoHold_Search,Search this compartment.
CargoHold_SearchResult Title,Cargo Hold
CargoHold_SearchResult,"Your officer searched the cargo hold, but haven't found any sign of the valuable cargo mentioned by the orders. He has found a locked compartment though. It's behind a sturdy bulkhead that would be extremely hard to break through without a key, especially in that diving suit."
CargoHold_Secret_Open,Open the sealed compartment.
CargoHold_Open,View the transported goods.
MoveBackToEngineRoom,Move back to the engine room.
Submarine_Outside_EnterSubmarine,Enter submarine.
Submarine_MoveToControlRoom,Move to control room.
Submarine_MoveToOfficerQuarters,Move to officer quarters.
Submarine_MoveToCrewQuarters,Move to crew quarters.
Outside_Return,Return to the surface.
,
MoveDownToEngineRoom Wait Title,Galley
MoveDownToEngineRoom Wait,Moving down to the engine room
MoveToGalleyFromEngineRoom Wait Title,Engine Room
MoveToGalleyFromEngineRoom Wait,Moving back to the galley
MoveToCargoHold Wait Title,Engine Room
MoveToCargoHold Wait,Moving to the cargo hold
Outside_Return Wait,Returning to surface
Outside_Return Wait Title,Wreck
MoveBackToEngineRoom Wait Title,Cargo Hold
MoveBackToEngineRoom Wait,Moving back to the engine room
,
/Enigma,English
SendDiver Title,Wreck
SendDiver,There is a wreck of {0} on the sea floor. How should we proceed?
SendDiver_Confirm,Send a diver.
SendDiver_TeamSelect,Select a diver to explore the wreck.
ConningTower Title,Conning Tower
ConningTower,"After being lowered onto the conning tower, {0} tried to open the hatch, but without any success. The hatch seems to be badly damaged and opening it would take a lot of effort and time. It's going to be faster to try entering through the escape hatch in the galley."
Enter_BatteryRoom,Enter through the escape hatch.
CrewQuarters Title,Crew Quarters
CrewQuarters,{0} managed to enter crew quarters through the escape hatch in the galley. The hatch leading towards the control room is locked.
Enter_ControlRoom,Try to open the hatch.
CannotOpenHatch Title,Crew Quarters
CannotOpenHatch,"{0} managed to unlock the hatch, but when he tried to open it, he couldn't do that, which made him realize that the compartment on the other side is not filled with water.

To his surprise, he heard a few knocks and faint human voices afterwards. There is someone alive on the other side!

{0} managed to communicate with the people trapped in the control room. It's a radioman and his assistant. They are trapped in there for many days now.

They confirm that they have access to the Enigma machine and if you manage to open the hatch at the conning tower, they should be launched in the air bubble right to the surface along with the machine. They said they will be ready."
ReturnAndOpenHatch,Return and open the main hatch.
OpeningTheMainHatch Title,Conning Tower
OpeningTheMainHatch,"{0} is opening the hatch installed on the conning tower. It's badly damaged, so it's going to take a few minutes."
Outside_Return,Abort.
,
SendDiver_Confirm Wait,Sending diver
SendDiver_Confirm Wait Title,Wreck
Enter_BatteryRoom Wait,Entering escape hatch
Enter_BatteryRoom Wait Title,Escape hatch
Enter_ControlRoom Wait,Entering Crew Quarters
Enter_ControlRoom Wait Title,Crew Quarters
ReturnAndOpenHatch Wait,Opening main hatch
ReturnAndOpenHatch Wait Title,Conning Tower
Outside_Return Wait,Returning to surface
Outside_Return Wait Title,Wreck
,
/Shot Down Aircraft,English
TakeSurvivorsOnBoard Tooltip,"Open a list of survivors on this aircraft and decide, if you want to take some of them on board."
Intro Title,Aircraft
Intro,There are {0} survivors inside the aircraft. What do you want to do?
TakeSurvivorsOnBoard,Rescue and take them on board.
,
,
/Lost U-boat,English
Intro Title,Lost ship
Intro,{0} is floating on the surface without a living soul on its deck. Inspection from our boat makes it clear that the boat sustained major damage. It remains a mystery though what happened to the crew and why the enemy left it in such state while at sea.
Intro_Investigated Title,Lost ship
Intro_Investigated,{0} is floating on the surface without a living soul on its deck. What do you want to do?
SendTeam,Send a team to investigate.
DelegationSelect Title,Lost ship
DelegationSelect,Select crew that will be the part of the delegation.
NotInvestigatedIntro Title,Lost ship
NotInvestigatedIntro,"Your team cautiously boarded {0}, reporting that they cannot hear any sounds from inside the ship. What do you want to do?"
InvestigatedIntro Title,Lost ship
InvestigatedIntro,Your crew is back to the lost ship.
Investigate,Investigate.
Investigating Title,Lost ship
Investigating,Your crew is investigating the lost ship�c
Result Title,Lost ship
Result,"{1} went to the conning tower and carefully opened the closed hatch, then quickly ran to the barriers on the conning tower, clearly choking. He reported that inside are the corpses of sailors, with dried blood flowing out of their eyes and lips. {1} had no doubt - the ship was damaged by a mine which led to flooding of the batteries on the boat, which in turn released chlorine gas and resulted in the death of the entire crew."
Accept,Accept.
Mine,Mine the ship.
Return,Return to your ship.
SendTeam Wait,"Please wait, while the team arrives at the destination."
SendTeam Wait Title,Team sent...
,
/Ally Help,English
Intro_ReplacementParts Title,{0}
Intro_ReplacementParts,"This u-boat called for help. According to the message, they need replacement parts from us. We should probably take them with us before meeting their crew - assuming that we want to share."
Intro_MedicalSupplies Title,{0}
Intro_MedicalSupplies,"This u-boat called for help. According to the message, they need medical supplies from us. We should probably take them with us before meeting their crew - assuming that we want to share."
Intro_Food Title,{0}
Intro_Food,"This u-boat called for help. According to the message, they need fresh vegetables and fruits from us. We should probably take them with us before meeting their crew - assuming that we want to share."
SendTeam,Send a team to investigate.
DelegationSelect Title,{0}
DelegationSelect,Select crew that will be the part of the team.
Intro Title,{0}
Intro,"{1} was welcomed by the skipper of this vessel. After a short exchange of courtesy, the skipper got straight to the point asking about the resources he asked for in the radio message."
Give_ReplacementParts,Give the replacement parts.
Give_ReplacementParts Tooltip,- We will share 1 replacement part.
Give_MedicalSupplies,Give medical supplies.
Give_MedicalSupplies Tooltip,- We will share 1 med kit.
Give_Food,Give food.
Give_Food Tooltip,"- We will share 10 units of food.
- Items brought by the officers will be offered in the first place, but if they don't have enough food with them, we will offer something from our ship's storage."
Give_ReplacementParts_Disabled,Give the replacement parts.
Give_ReplacementParts_Disabled Tooltip,- We don't have 1 replacement part to share.
Give_MedicalSupplies_Disabled,Give medical supplies.
Give_MedicalSupplies_Disabled Tooltip,- We don't have 1 med kit to share.
Give_Food_Disabled,Give food.
Give_Food_Disabled Tooltip,- We don't have 10 units of food to share.
Return,Return to your ship.
Thanks Title,{0}
Thanks,The skipper thanked us for the help and promised to nicely mention us in his report to headquarters.
GladToHelp,We are glad to help.
,
SendTeam Wait,"Please wait, while the team arrives at the destination."
SendTeam Wait Title,Team sent...
,
/Surrender,English
Intro Title,Surrender
Intro,What do you want to do?
Surrender,Gather the crew on the deck. We have to surrender.
,
/Scuttle,English
Coast,Coast
Intro Title,{0}
Intro,What do you want to do?
Scuttle,Gather the crew on the deck. We will scuttle the ship and abandon it.
