Key,English
Tutorial 04 - LeakExplanation 1,"Officer {0} shot that aircraft down, but they hit us hard too.

We must plan how to proceed to get out of this situation. We have a few problems to deal with."
Tutorial 04 - LeakExplanation 2,"There is a massive hole in the pressure hull. Our ship is going to sink, if we don't patch it up fast.

Luckily for us, it's located in the upper part of the hull. Such breaches usually don't leak water in a constant stream, as long as your ship stays on the water surface."
Tutorial 04 - LeakExplanation 3,The second problem is that officer {0} got seriously wounded in the explosion. He saved us all by shooting down the aircraft and it's up to us to return the favor.
Tutorial 04 - LeakRepairSelect,"Select {0}, our engineer, before we continue."
Tutorial 04 - LeakRepairAssign,Now assign him to repair the hull breach by clicking on it using a <b>left mouse button</b>.
Tutorial 04 - LeakPump,We must start pumping out the water leaking into the ship. Click on the pump using a <b>left mouse button</b> to order switching it on.
Tutorial 04 - FirstAidSelect,"Good. Let's now ensure that {1} will get the medical help he needs.

On u-boats, radiomen are always trained in some form of a medical help. Select {0}, our radioman, before we continue."
Tutorial 04 - FirstAidAssign,Now click on {0} to order your radioman to help him.
Tutorial 04 - Unpause,Everything is done for now. You can unpause the game by either pressing <b>space</b> again or clicking the highlighted button.
Tutorial 04 - Repaired,The breach has been repaired. We are fine for now.
Tutorial 04 - DestroyerSubmerge 1,Your crew spotted a destroyer on the horizon! They must be searching here for the previously sunk u-boat.
Tutorial 04 - DestroyerSubmerge 2,"Destroyers are heavily armed units and you should never face them on the surface. Skipper, order a crash dive!"
Tutorial 04 - ChangeLighting 1,"Shhh... They are circling right on top of us, listening through the hydrophones."
Tutorial 04 - ChangeLighting 2,"Press and hold TAB on the keyboard to open the quick orders menu and change the lighting to blue by clicking the highlighted button.

Blue lighting is a signal for the crew to stay completely quiet and limit any chatter."
Tutorial 04 - StressHigh 1,Your crew clearly becomes stressed...
Tutorial 04 - StressHigh 2,"Considering that it's the very first patrol of your crew, you may shortly see who among it is up to the duty and who isn't.

Take notes captain and adjust the roster accordingly when you will be back to the port."
Tutorial 04 - PanicSelect 1,"Damn it! One of the sailors is having a panic attack! The enemy may hear him using the hydrophone.

We must deal with it as quick as possible."
Tutorial 04 - PanicSelect 2,"Select officer {0}, one of the leaders, before we continue."
Tutorial 04 - PanicAssign,Now click on the panicking sailor using a <b>left mouse button</b> to order the officer to calm him down.
Tutorial 04 - Surface,"We are now past that crisis skipper.  The destroyer seems to have left the area.

Click the highlighted button to return back to the surface."
Tutorial 04 - CompletePatrol,"That was an adventure! Luckily, we are now back to business and can carry on with the orders.

Skipper, continue the patrol on the highlighted area and then return back to port after travelling {0}."
Tutorial 05 - RecruitmentStartDialogue 1,"Hello skipper!

During this assignment, I will explain to you how to prepare the crew on your u-boat for the challenges ahead."
Tutorial 05 - RecruitmentStartDialogue 2,"Over time you will have to recruit new sailors.

You can perform all recruitment tasks by talking with recruitment officer at a port. Please do that now, by clicking on him using a <b>left mouse button</b>."
Tutorial 05 - RecruitmentSelectDialogueOption,Good. Now select the first dialogue option to look at the available recruits.
Tutorial 05 - RecruitmentClose,You can close this view for now.
Tutorial 05 - CrewListOpen,"After you recruit new sailors, they may need to be assigned to your crew. To do that open the crew list by clicking  on the highlighted button using a <b>left mouse button</b>."
Tutorial 05 - CrewListClose,You can close this view for now.
Tutorial 06 - UpgradeStartDialogue 1,"Hello skipper,

This time, I will quickly explain you how to upgrade the ship."
Tutorial 06 - UpgradeStartDialogue 2,"Ship upgrades can be ordered at the port warehouse. Please talk to the warehouse worker, before we proceed."
Tutorial 06 - UpgradeSelectDialogueOption,Good. Now select the highlighted dialogue option to open the upgrade mode.
Tutorial 06 - UpgradeBattery,Please click on the listening room to see currently available upgrades.
Tutorial 07 - OpenHeadquarterScreen 1,"Hello skipper,

I will give you a quick introduction how to aid Kriegsmarine by assigning your officers to help with ongoing research and other tasks."
Tutorial 07 - OpenHeadquarterScreen 2,"Please open the headquarters screen, before we continue by clicking on the highlighted button in the menu."
Tutorial 07 - SelectAnyFreeSlot,Click on a blank document in the lower left part of the screen to look through available tasks in the headquarter.
Tutorial 07 - SelectAnyTask,Good. Now select any icon on the map by clicking on it using a <b>left mouse button</b>.
Tutorial 07 - TaskExplanation 1,The document you see on the left describes a project that is currently being worked on by the headquarters.
Tutorial 07 - TaskExplanation 2,"You can assign one of your officers to complete it, by clicking on the empty slot in the bottom part of the page, as long as he meets the requirements. The officer must also be not assigned to participate in the next assignment on board of your ship in the crew management menu."
Tutorial 07 - Complete,"That's all you had to know, skipper. Good luck!"
